v_id,cv_cid,video_source_id
71DLL4K9ETAQ7AZAANXK,TC9PB66AVX3R5DS5TQMZ,GCSP1PT2UJB5P145OCZ5
TPHNLGFCKNYI35EI39OK,TC9PB66AVX3R5DS5TQMZ,VC54XNVRMOV9X4FX2V2I
4TUH9B2E3UOQV6LLFDNT,TC9PB66AVX3R5DS5TQMZ,7SDBUJ0M4Q3AR4PJEXWK
TN5XFWXHR6PSTE3K5CW2,TC9PB66AVX3R5DS5TQMZ,68OEITQH60UK6VW5H42D
TTO3VAK5CY3XKHGYW4E7,TC9PB66AVX3R5DS5TQMZ,PCTAX0OQ2N101W8TM6EW
PTUTNTOIRMLMS1FAP6AZ,TC9PB66AVX3R5DS5TQMZ,2OBI1WIJW8GH4SBDX9UX
RTDRHWR6V9FSHAYR1XPT,TC9PB66AVX3R5DS5TQMZ,YG0UB77ST1Y4N4EKEAXP
VBMYHEMCMEY2RUNISVBB,TC9PB66AVX3R5DS5TQMZ,0CWRGV2ZIL66EFCWFWBD
M6FH7T4SC3PCEYSR58QG,TC9PB66AVX3R5DS5TQMZ,15D866BNZGTCNFU1PI2Y
R8AKEI9N0PEA93UDUEFD,TC9PB66AVX3R5DS5TQMZ,AVFSEBN7XB24C3Q3MJLN
7GWLA9UGHGIDWZ8QCTXX,TC9PB66AVX3R5DS5TQMZ,VOP5QJON96SET9XFVWSQ
RW016KV69S9XKJBK3NYV,TC9PB66AVX3R5DS5TQMZ,EJD4VCQQA4VK4HXJM3LA
CRH5QESKQMGXKPQ5FOCM,TC9PB66AVX3R5DS5TQMZ,TXIQIFDNI8QT9HCCQ192
L58DV7HWWS76OJRO760T,TC9PB66AVX3R5DS5TQMZ,C4BCUOK1J4FPY4GVMI5D
YHEBL4D8K6W7DH0WNYIM,TC9PB66AVX3R5DS5TQMZ,H9RLNK1KFCCVI0ZGMQQA
AU2BXIDRKUNBDF13FHHK,TC9PB66AVX3R5DS5TQMZ,1TDS0RZE1TRKO915SJXP
0EOFYRMBAQEUUICLTE8R,TC9PB66AVX3R5DS5TQMZ,K02JSTZI4GQJCMXTH60Q
DXE7J1UCVWMT3DLQOP5P,TC9PB66AVX3R5DS5TQMZ,CQBUAV8235FIDRLDFC2H
L0AJDN15AHBM4627AQTX,TC9PB66AVX3R5DS5TQMZ,XIYU7BRM80SQZ1JVKPAR
LWOAVYZ1BCT2DOJ9W16S,TC9PB66AVX3R5DS5TQMZ,M1LGS7CWLQXKYRTVP7AE
FN7V5SNLCWWFKJI33J8J,TC9PB66AVX3R5DS5TQMZ,4MAX3V98I5HNL9Z40RG6
G6X8H6LSBSPJ3E6S3LNV,TC9PB66AVX3R5DS5TQMZ,ELHOMQE3LAUCRTNBRUSP
