cv_cid,course_title,course_no,year,semester,instructor_string,course_start,course_end,reg_start,reg_end,roster_limit,reg_workflow,course_type,status
W7KHRBJDOONVYVJHV5YG,มหากาพย์ อังกฤษ อัพเกรด: ตั้งไข่ไวยากรณ์ (จุฬาฯ),CU.MOOC.021.CU01,2019,1,อ.มณฑิรา ดำรงมณี,1552614325,1552614325,1552614325,1577811599,4000,purchase_to_enroll,selfpace,0
MEJPZX79SXPLJJE5DWI4,มหากาพย์ อังกฤษ อัพเกรด: ตั้งไข่ไวยากรณ์ (จุฬาฯ),CU.MOOC.021.CU01,2018,2,อ.มณฑิรา ดำรงมณี,1552870800,1577811599,1552870800,1577811599,5000,purchase_to_enroll,selfpace,1
9WHKW5SSD42H3TYIRYNJ,มหากาพย์ อังกฤษ อัพเกรด: ไวยากรณ์พร้อมรบ (จุฬาฯ),CU.MOOC.023.CU01,2018,2,อ.มณฑิรา ดำรงมณี,1552870800,1577811599,1552870800,1577811599,5000,purchase_to_enroll,selfpace,1
40PSTXK64481ALC67LO9,มหากาพย์ อังกฤษ อัพเกรด : โค้งสุดท้ายไวยากรณ์ และการออกเสียงภาษาอังกฤษ (จุฬาฯ),CU.MOOC.024.CU01,2018,2,อ.มณฑิรา ดำรงมณี,1552870800,1577811599,1552870800,1577811599,5000,purchase_to_enroll,selfpace,1
AM1BP7KG0M1841Q1C9XS,มหากาพย์ อังกฤษ อัพเกรด : ศัพท์ทะลุ อ่านทะลวง (จุฬาฯ),CU.MOOC.025.CU01,2018,2,อ.มณฑิรา ดำรงมณี,1552870800,1577811599,1552870800,1577811599,5000,purchase_to_enroll,selfpace,1
RMRKTDDSI38XQX4A738D,มหากาพย์ อังกฤษ อัพเกรด: Conversation มั่นใจ (จุฬาฯ),CU.MOOC.027.CU01,2018,2,อ.มณฑิรา ดำรงมณี,1552870800,1577811599,1552870800,1577811599,5000,purchase_to_enroll,selfpace,1
5Q77324S9RW1A7KESZGE,Intro to Social Psychology for Business,Achieve.PUBLIC0201,2018,2,ศ. ดร.กิตติคุณ ศักดา ปั้นเหน่งเพ็ชร์ และ อ.ดร.ธีรดา จงกลรัตนาภรณ์,1549846800,1558717199,1549846800,1558717199,54,purchase_to_enroll,selfpace,1
KDL2TK4EHUGSZ20ZBR8Q,Storytelling Structure & Media Design,Achieve.PUBLIC0202,2018,2,"ผศ.ดร.สมิทธิ์ บุญชุติมา และ อ.ดร.ประภัสสร จันทร์สถิตย์พร
",1549846800,1558717199,1549846800,1558717199,54,purchase_to_enroll,selfpace,1
QSXMX8FLL0DQHSX3DED0,Effective Presentation Delivery,Achieve.PUBLIC0203,2018,2,ผศ.ดร.สุกัญญา สมไพบูลย์ และ อ.ดร.ธีรดา จงกลรัตนาภรณ์,1549846800,1558717199,1549846800,1558717199,54,purchase_to_enroll,selfpace,1
MVT2JPCEVTK3I0014PPM,Negotiation & Value Creation,Achieve.PUBLIC0204,2018,2,ผศ.ดร.สมิทธิ์ บุญชุติมา,1549846800,1558717199,1549846800,1558717199,54,purchase_to_enroll,selfpace,1
702VS2UKEBUWCEBPDPX4,Persuasive Presentation & Negotiation Pathway Test,Achieve.PUBLIC0205,2018,2,,1549846800,1558717199,1549846800,1558717199,54,purchase_to_enroll,selfpace,1
OWB7JPHS8XWA4G4UPS1V,การสร้าง Infographics: What & How? รุ่นที่ 4,CU.MOOC.008.04,2018,2,ผศ.สมิทธิ์ บุญชุติมา,1554080400,1559321999,1554080400,1559321999,4000,purchase_to_enroll,selfpace,1
MG1H21OM7NLWGXCITL1P,การตลาดในศตวรรษที่ 21 รุ่นที่ 4,CU.MOOC.001.04,2018,2,อ. ดร.กฤตินี พงษ์ธนเลิศ,1554080400,1559321999,1554051600,1559321999,4000,purchase_to_enroll,selfpace,1
BG8495KA1NPX7915ABWC,มหากาพย์ อังกฤษ อัพเกรด : ศัพท์ทะลุ อ่านทะลวง รุ่นที่ 2,CU.MOOC.025.02,2018,2,อ.มณฑิรา ดำรงมณี,1554080400,1559321999,1554080400,1559321999,4000,purchase_to_enroll,selfpace,1
12VY93TP8W1EE2XXBUGW,Principles of innovation and entrepreneurship,CU.MOOC.040,2018,2,ศ. น.สพ. ดร.มงคล เตชะกำพุ รศ. ดร.ณัฐชา ทวีแสงสกุลไทย ดร.รณกร ไวยวุฒิ คุณวิวรรณ ธาราหิรัญโชติและ คุณธนยศ เอื้อวิศาลวรวงศ์,1554858000,1559321999,1554080400,1559321999,4000,purchase_to_enroll,selfpace,1
